,English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
7999,companies that earn ,जुटाएंगी कंपनियां ,20,18,2
8023,It is recorded at Leviticus 19: 18. ,यह नियम लैव्यव्यवस्था 19: 18 में दर्ज़ है । ,36,44,-8
8025,This will grow. ,इसे बढ़ाया जाएगा। ,16,17,-1
8030,Spanish sounds ,स्पैनी ध्वनि ,15,13,2
8035,Tomorrow's game will commence at 0300. ,कल के खेल 0300 में शुरू होगा. ,39,30,9
8039,Thanks for your love & support. ,आपके प्यार और मार्गदर्शन के लिए धन्यवाद। ,32,41,-9
8042,What ails English teaching? ,अंग्रेजी पढऩे में हर्ज क्या है? ,28,32,-4
8043,No one was injured in this accident. ,इस हादसा में ज्यादा नुकसान नहीं हुआ. ,37,37,0
8060,How did he die? ,यह कैसे मर गया? ,16,16,0
8061,His condition is stable following a surgery. ,ऑपरेशन के बाद शख्स की हालत स्थिर है। ,45,37,8
8079,I have not assaulted anyone. ,मैंने किसी से मारपीट नहीं की। ,29,30,-1
8092,Fire cannot burn it. ,उससे आग नहीं लग सकती है। ,21,25,-4
8093,"""The Rural Hospital ",ग्रामीण अस्पताल ,20,16,4
8094,He hasn't lost any election so far. ,इन्होंने अभी तक एक भी चुनाव नहीं हारा है। ,36,42,-6
8098,High Resolution ,उच्च रिज़ोल्यूशन ,16,17,-1
8105,"However, India fell 31 runs short in the end. ",हालांकि भारत यह मैच 31 रनों से हार गया. ,46,40,6
8109,I hadnt seen anything like that before. ,मैंने ऐसे पहले बहुत कम देखा है. ,40,32,8
8111,Add to Project ,परियोजना में जोड़ें (A) ,15,24,-9
8118,"Section - 15, Right to Information Act, 2005 ","धारा - 15, सूचना का अधिकार अधिनियम, 2005 ",45,41,4
8121,"""Then some other people do the same. ",उसके बाद दूसरे लोग भी उसके साथ ऐसा ही करेंगे। ,37,46,-9
8125,"""The couple have two sons. ",जोड़ी की दो बेटियां हैं. ,27,25,2
8126,"""The police said investigations were underway. ",पुलिस ने कहा कि बचाव अभियान जारी है। ,47,37,10
8127,"She was a beautiful woman, petite and delicate. ","""वह हृष्टï-पुष्टï, कद्दावर, दबंग किस्म की औरत थी। ",48,50,-2
8135,This time will also go. ,यह समय भी निकलेगा ही। ,24,22,2
8137,wrote one Witness of Jehovah. ,यहोवा के एक साक्षी ने लिखा । ,30,29,1
8138,Senior police officials reached the spot. ,घटनास्थल पर वरिष्ठ अधिकारी पहुंच गए हैं। ,42,41,1
8140,It can occur at any age. ,ऐसा किसी भी उम्र में हो सकता है। ,25,33,-8
8144,An overloaded auto-rickshaw ferries school ,पीछा कर ओवरलोडिड स्कूल वैन पकड़ी ,43,33,10
8148,You will get parental support. ,अभिभावकों का सहयोग मिलेगा. ,31,27,4
8152,He expressed his concerns over the issue. ,उन्होंने इसे लेकर अपनी चिंता जाहिर की। ,42,39,3
8158,A search operation is still underway in the area. ,Tral इलाके में सर्च ऑपरेशन अभी भी जारी है। ,50,43,7
8164,"""The advantages are clear. ",इसके फ़ायदे स्पष्ट हैं. ,27,24,3
8165,He was later discharged after recovery ,इसके बाद उनको जमानत कर रिहा किया गया है। ,39,41,-2
8167,We are hopeful that a solution will be found. ,हमें उम्मीद है कि इसका कोई समाधान निकल आएगा। ,46,45,1
8182,You can make your own scrub at home. ,चाहें तो घर पर खुद भी स्क्रब बना सकती हैं। ,37,43,-6
8185,Amar Singhs effigy burnt ,फूट पड़ा अमर सिंह का गुबार ,25,27,-2
8186,Let's cut down our expenses. ,हमें अपने खर्चे कम करने होंगे। ,29,31,-2
8193,Business school ,बिजनेस स्कूल्स ,16,15,1
8197,"Take, for example, pulses. ","उदाहरण के लिए, दालों को लें। ",27,29,-2
8201,Death is always sad. ,मृत्यु हमेशा पीड़ा देती है। ,21,27,-6
8210,Maybe hes never even considered it. ,शायद इसकी कल्पना भी उन्होंने न की होगी। ,36,40,-4
8213,Expanded Activity ,बढ़ता काम ,18,10,8
8256,"Now, it is the time to work for economic freedom. ",अब आर्थिक आज़ादी के लिये कार्य करने का समय है। ,50,47,3
8264,translator - credits ,अनुवाद श्रेय ,21,13,8
8265,Your Adrien. ,तुम्हारा Adrien. ,13,17,-4
8267,"However, the sale price is not yet known. ",हालांकि इसकी कीमत का अभी तक खुलासा नहीं हो पाया. ,42,49,-7
8270,All of this is wrong. ,यह सब गलत है. ,22,14,8
8275,BJP govt misleading people: Akhilesh ,जनता को बेवकूफ नहीं बनाये भाजपा : अखिलेश ,37,41,-4
8276,Reporting authority ,रिपोर्ट प्राधिकारी ,20,19,1
8282,We have only seen media reports. ,हमने केवल मीडिया में आई रिपोर्ट देखी है। ,33,41,-8
8288,DivineProportion Shape ,डिवाइनप्रपोर्शन आकारName ,23,25,-2
8289,"""The two,however,are not connected. ",हालांकि ये दोनों रिश्तेदार नहीं हैं. ,36,37,-1
8295,11 runs came from that over. ,इस ओवर से 11 रन आए. ,29,20,9
8315,Farmer castrated ,किसान ने लगाया फंदा ,17,20,-3
8316,Parliaments job is to legislate. ,विधानसभा का कार्य संसद करती है। ,33,32,1
8319,"""The agitated people set the truck on fire. ",आक्रोशित लोगों ने गाड़ी को आग के हवाले कर दिया। ,44,48,-4
8322,This flight is special in many ways. ,ये ट्रेन कई मायनों में खास है. ,37,31,6
8327,He has given us some amazing films. ,उन्होंने हमें कुछ शानदार फिल्में दी हैं। ,36,41,-5
8330,Determined to Bear Thorough Witness ,अच्छी तरह गवाही देने की ठान लीजिए ,36,34,2
8333,No decision has been taken by the board yet. ,अभी बोर्ड या टीम ने कोई फैसला नहीं लिया है। ,45,44,1
8338,So is Facebook. ,वो भी फेसबुक के जरिये। ,16,23,-7
8342,Also There ,"""वहां भी . ",11,11,0
8347,How is this fair? ,यह कैसी नाइंसाफी ? ,18,19,-1
8352,"""The family has not given any statement so far. ",अभी परिवारीजनों ने कोई तहरीर नहीं दी है. ,48,41,7
8367,What accounts for this? ,इसकी वजह क्या है? ,24,18,6
8374,Sheldon Cottrell (Base price Rs 1 crore) ,शेल्डन कॉटरेल (बेस प्राइस 1 करोड़ रुपये) ,41,41,0
8378,"In India, cow is worshipped as God. ",भारत में गाय को पूज्जनीय माना जाता है। ,36,39,-3
8380,Dream came true. ,सपना सच हुआ था। ,17,16,1
8383,"""Theres nothing in it. ",इसमें कुछ नहीं है. ,23,19,4
8389,Mother-daughter love ,बेटी- दमाद करते हैं प्यार ,21,26,-5
8390,Optic neuritis with swelling of the optic disk. ,ऑप्टिक डिस्क के सूजन के साथ ऑप्टिक न्युरैटिस. ,48,46,2
8393,All the government offices functioned normally. ,सभी कार्यालयों ने सुचारू रूप से काम किया। ,48,42,6
8398,Tamil Nadu assembly session began today. ,तमिलनाडु विधानसभा का सत्र आज से शुरू हो गया। ,41,45,-4
8414,Reputation in society will increase. ,समाज में मान प्रतिष्‍ठा बढ़ेगी। ,37,31,6
8424,He also translated Portuguese poems into Hindi. ,कविता का हिंदी अनुवाद भी उन्होंने ही किया था। ,48,46,2
8425,You have parked your car. ,आप कार पार्क करते हैं। ,26,23,3
8429,"""The cause of her death is not known yet. ",हालांकि अभी तक उनके निधन की वजह सामने नहीं आई है। ,42,50,-8
8438,This news has shocked everyone in the industry. ,इस खबर ने पूरी इंडस्ट्री को हिलाकर रख दिया था. ,48,47,1
8439,"""""""It's a very difficult group."" ","उन्होंने कहा, ‘‘यह कठिन ग्रुप है. ",33,34,-1
8441,So stay away from it. ,इसलिए इससे दूर ही रहें। ,22,24,-2
8448,Dispute with cops ,पुलिस से हुई बहस ,18,17,1
8456,Take a look here to know more ,ज्यादा जानकारी के लिए देखें यह ,30,31,-1
8463,"""They are tarnishing his image. ",वे अपनी छवि खराब कर लेते हैं। ,32,30,2
8465,I wont declare. ,मैं घोषणा नहीं करूंगा। ,16,23,-7
8466,A case of murder has been registered. ,मामले में इतेफाकन मौत की कार्रवाई की गई है। ,38,44,-6
8469,Bigamy is prohibitted according to the Hindu law. ,हिंदु कानून के अनुसार द्विविवाह पर प्रतिबंध है। ,50,48,2
8476,So 1 minus cosine of x. ,तो 1 शून्य एक्स की कोज्या। ,24,27,-3
8480,"""Then add the mutton. ",फिर इसमें बटर डालें। ,22,21,1
8482,"""They claimed ",उन्होंने दलील ,14,14,0
8487,Let me now turn to international trade. ,अब मैं अंतर्राष्ट्रीय व्यापार की ओर आता हूं। ,40,45,-5
8493,But sharing of seats had not been discussed yet. ,हालांकि सीटों का बंटवारा अभी नहीं हुआ है. ,49,42,7
8496,"""The enquiry continued till night. ",देर रात तक मामले में छानबीन जारी रही। ,35,38,-3
8502,This will give a lot of confidence to runners. ,इससे यात्रियों का उबर के प्रति भरोसा बढ़ेगा। ,47,44,3
8516,"""The Congress scored only eight seats. ",कांग्रेस को मात्र आठ सीटें हासिल हुई थीं। ,39,42,-3
8521,take up ,चूसना ,8,6,2
8528,It has several subspecies. ,इसकी अनेक जातियाँ हैं। ,27,23,4
8529,But Ashwin wasnt relenting. ,लेकिन अश्विनी पीछे नहीं हटे. ,28,29,-1
8553,"Driver absconding with car, money ",चालान के पैसे लेकर भागा ड्राइवर ,34,32,2
8557,"""Their position is as follows - ",उनकी तैनाती की स्थिति इस प्रकार है: ,32,36,-4
8559,"""There are two possibilities here. ",>> यहां पर आपको दो विकल्प​ मिलेगा. ,35,35,0
8561,"She was, however, let off later. ","हालांकि, बाद में उसे छोड़ दिया। ",33,31,2
8565,Death toll rises to 35. ,घायलों की संख्या 35 हो गई है. ,24,30,-6
8567,Is there any truth in these reports? ,क्या इन आंकड़ों में कोई सच्चाई है? ,37,35,2
8568,Remove the jack of hearts. ,लाल पान का बादशाह हटाएँ. ,27,25,2
8569,Doctors were there as well. ,डॉक्टर्स भी मौजूद रहे। ,28,23,5
8574,A nylon rope was tied around his neck. ,उसमें नॉयलोन की रस्सी का झूला बंधा हुआ था। ,39,43,-4
8577,"""The girl did not know the man. ","""""""लड़की को मैं नहीं जानता था."" ",32,32,0
8581,He was taken for 31 runs in 5 overs. ,उन्होंने 31 गेंदोंकीपारीमें 5 चौकेमारे। ,37,40,-3
8584,Everything has to go on. ,सहे जाना है सबकुछ। ,25,19,6
8592,Load Subtitles... ,सब- टाइटल्स लोड करें... (L) ,18,28,-10
8597,"""The people here lived happily. ",यहाँ के लोग खुशहाली से जीवन बिता रहे हैं। ,32,42,-10
8604,He had realised the truth. ,"""वह इस सच्चाई के प्रति जागरूक थे। ",27,34,-7
8605,He was way ahead of his time. ,"""वह अपने समय के हिसाब से प्रगतिशील था। ",30,39,-9
8606,He has also acted in Bollywood movies. ,"""वह बॉलीवुड फिल्म में भी अभिनय कर चुके हैं। ",39,44,-5
8626,He lives in Kolkata. ,"""वह कोलकाता में रहती है. ",21,25,-4
8630,But until how long? ,लेकिन ऐसा कब तक? ,20,17,3
8644,Traffic was also disrupted at several places. ,कई जगह ट्रैफिक को भी डायवर्ट किया गया है। ,46,42,4
8651,"""They had also demanded a motorcycle. ",उससे मोटर साइकल की मांग भी की जाती थी। ,38,39,-1
8662,"""They need someone to talk to. ",किसी को उनसे बात करनी चाहिए। ,31,29,2
8668,(For Imported Goods) ,(निर्यात वस्तुओं के लिए) ,21,25,-4
8672,He recovered his property from the burglers. ,उसने चोरों से अपनी सम्पत्ति बरामद कर ली। ,45,41,4
8680,He had to go without food for days. ,उसने दिनों तक खाना नहीं खाया। ,36,30,6
8682,Militancy was at its peak then. ,उस समय वहाँ मिलिटेंसी चरम पर थी. ,32,33,-1
8685,One died during treatment. ,इलाज के दौरान एक घायल की मौत हो गई। ,27,36,-9
8687,Rescue work is still underway. ,राहत कार्य अभी भी जारी है। ,31,27,4
8692,"""The trailer of the film was launched in Mumbai. ",फिल्म का पोस्टर मुंबई में लॉन्च किया गया। ,49,42,7
8701,He forcibly took her away in a car. ,उसने जबरन उसे कार में बिठाया था। ,36,33,3
8703,"""The doctors declared him brought dead. ",चिकित्सकों ने उसे मृत घोषित कर दिया। ,40,37,3
8711,India have also made one change in their team. ,"""वहीं, भारत ने अपनी टीम में एक बदलाव किया। ",47,43,4
8722,Consume more fluids. ,तरल पदार्थ का सेवन अधिक करें। ,21,30,-9
8726,Did we really attack? ,क्या हमने वाकई हमला किया? ,22,26,-4
8727,"""The rule of law is the foundation of democracy. ",धर्मनिरपेक्षता ही लोकतंत्र की बुनियाद है। ,49,42,7
8730,First they fired in the air. ,पहले हवा में गोली चलाई गई। ,29,27,2
8733,Expansion plans in business will fructify. ,कारोबार के विस्तार की योजनाएं साकार होंगी। ,43,43,0
8748,She had been living in France since 1993. ,1993 से एक डच महिला से विवाहित हैं. ,42,36,6
8751,Start / Stop Count ,गिनती आरंभ करें/रोकें ,19,22,-3
8759,"""The matter does not rest here. ",मसला यहीं शांत नहीं हुआ ,32,24,8
8760,"""They must be remembered. ",उन्हें याद रखा जाए. ,26,20,6
8761,"Could you leave them there, please? ","इन्हें वहाँ रखे दो, प्लीज़। ",36,28,8
8767,Society needs to change its mindset. ,समाज की मानसिकता बदलने की जरूरत है। ,37,36,1
8776,And what role do they play? ,और वे कौन - सी भूमिका अदा करते हैं? ,28,36,-8
8782,But it could always change. ,लेकिन इरादे कभी भी बदल सकते हैं. ,28,33,-5
8784,Mushrooms are rich in nutrients. ,मूंग दाल पोषक तत्वों से भरपूर होती है । ,33,40,-7
8797,Not talking ,बोलती हैं न। ,12,13,-1
8807,What are the roots of oppression? ,छापेमारी की जड़ क्या हैं? ,34,26,8
8812,in North India. ,उत्तर भारत में. ,16,16,0
8815,Wright brothers ,राइट बंधु ,16,10,6
8821,"""There are multiple benefits to this. ",इससे अनेकानेक लाभ होते हैं। ,38,28,10
8832,So what do you prefer? ,सो क्या है पसंद? ,23,17,6
8838,But this does not cover everything. ,लेकिन यह अभी भी हर चीज को कवर नहीं करती है। ,36,44,-8
8839,Weve set up a committee. ,हमने एक कमेटी का गठन कर दिया है. ,25,33,-8
8842,You can choose any of these options. ,इसमें से आप किसी भी विकल्प को चुन सकते हैं। ,37,44,-7
8843,Dev - Unstable ,विकास-अस्थिर ,15,13,2
8845,Do not keep the money. ,पैसों को पकड़ मत। ,23,18,5
8853,"""The results have not been happy. ",इसके परिणाम कभी भी सुखद नहीं रहे। ,34,34,0
8856,"""The Supreme Court has adjudicated on the issue. ",इस मामले में शीर्ष अदालत का फैसला आ चुका है। ,49,45,4
8859,What a fine reward that would be! ,और यह हमारी मेहनत का कितना बढ़िया फल होगा! ,34,43,-9
8862,Rohit also claimed one wicket. ,रोहित ने एक टाई भी खेला है। ,31,28,3
8884,He had left the house early this morning. ,"""वह सुबह टहलने के लिए घर से निकली थी। ",42,38,4
8887,advertisement. or ,विज्ञापन. या ,18,13,5
8888,"St. Francis Church, Kochi ","सेंट फ्रांसिस चर्च, कोचीन ",26,26,0
8898,It will release soon. ,जिसे जल्द ही रिलीज किया जाएगा। ,22,31,-9
8907,"Of those, two have died. ",उनमें से दो की मौत हो गई है. ,25,29,-4
8908,"Yes, you are right. ","‘सकीना, सही कहती हो। ",20,21,-1
8909,In a few days you will see a difference. ,कुछ दिनों में इसका फर्क आपको साफ नजर आएगा। ,41,43,-2
8911,Try it out! ,आजमाई जाए! ,12,11,1
8915,Both came close to each other. ,दोनों एक-दूसरे के करीब आ गए. ,31,29,2
8919,Build Ram in your heart: Tharoor ,राम को अपने दिल में बसाएं: थरूर ,33,32,1
8920,can be utilised. ,एक प्रयोग किया जा सकता है। ,17,27,-10
8923,photolash Ex ,फोटोलाश पूर्व ,13,14,-1
8924,"Though, we never follow each others advice. ","लेकिन, हम एक दूसरे की सलाह नहीं मानते। ",44,39,5
8925,Writing Mode ,लिखने का मोड ,13,13,0
8926,Im helpless. ,मैं बेबस हूं. ,13,14,-1
8929,Expenditure will increase. ,व्यय में बढ़ोतरी होगी। ,27,23,4
8930,That's where children experience life. ,"""वही पर बच्चों को जीवन का अनुभव होगा ",39,37,2
8931,Did it work? ,क्या काम बन गया ? ,13,18,-5
8933,"""The project will cost around Rs 650 crore. ",इस पर लगभग 612 करोड़ रुपये का खर्च आएगा। ,44,41,3
8943,Appeal to Central Government. ,केन्द्रीय सरकार को अपील ,30,24,6
8946,"PAGE 19 SONGS: 98, 104 ","पेज 19 • गीत: 44, 9 ",23,20,3
8954,Move Item & Down ,वस्तु मिटाएँ ,17,13,4
8956,Kit Harington in Game Of Thrones ,"किट हैरिंगटन, गेम ऑफ थ्रोन्स ",33,29,4
8958,and caused much corruption in them: ,और उनमें बहुत बिगाड़ पैदा किया ,36,31,5
8963,non - water intensive crops ,बिना पानीवाली गहन फसलें ,28,24,4
8970,We answer. ,जवाब हम देते हैं. ,11,18,-7
8975,Changing society ,बदलेगा समाज ,17,12,5
8977,TREVOR: Yeah. ,"जाओ, जाओ, जाओ. ",14,15,-1
8978,This is normal too. ,ये भी आम है. ,20,13,7
8980,AR Rahman will be composing the music. ,एआर रहमान संगीत की प्रस्तुति देंगे। ,39,36,3
8984,After that they could not find any jobs. ,जिसके बाद उनका मेहनताना उन्हें नहीं मिला था। ,41,45,-4
9002,So they dont do anything about it. ,इसलिए वे उन पर कोई कार्रवाई नहीं कर सकते। ,35,42,-7
9003,"""""""It is all false"" ",सब झूठ हैं। ,20,12,8
9007,Five accused arrested ,पांचों आरोपी गिरफ्तार ,22,22,0
9011,This allows you to save a lot of time. ,इससे काफी समय बचाया जा सकता है। ,39,32,7
9013,"Earthquake tremors felt in Delhi, nearby areas ",दिल्ली व आसपास के इलाकों में भूकंप के झटके ,47,43,4
9017,He was preparing for competitive exams. ,वो प्रतियोगी परीक्षाओं की तैयारियां भी कर रही थी। ,40,50,-10
9021,Both were looking so adorable . ,दोनों ही बेहद खूबसूरत लग रहे थे. ,32,33,-1
9026,And then everything continues as before. ,र सब मानो पहले जैसा होता जा रहा है। ,41,36,5
9028,"""The trailer of the film is out. ",फिल्म का ट्रेलर आ चुका है। ,33,27,6
9031,It was a pretty tough time. ,यह काफी कठिन समय था. ,28,21,7
9036,What is the rule ,क्या है अध्यादेश ,17,17,0
9038,Its not very expensive either. ,जिनकी कीमत बहुत ज्यादा नहीं होती। ,31,34,-3
9046,Cops are investigating the case. ,सीओ सिटी मामले की जांच कर रहे हैं। ,33,35,-2
9059,Further investigation is on in this case. ,इस मामले में आगे जांच चल रही है। ,42,33,9
9064,What do the investigators say? ,क्या कहते है जांच अधिकारी : ,31,28,3
9065,That is where we live. ,जहां हम रहते हैं। ,23,18,5
9069,Asian Championship ,एशियाई चैम्पियनशिप ,19,19,0
9076,But no one knows who actually did that. ,"लेकिन वास्तव उनके साथ क्या हुआ, किसी का नहीं पता. ",40,50,-10
9077,"Dera Bassi, November 1 ","चरखी दादरी, 1 नवंबर (निस) ",23,26,-3
9078,Nudges banks to cut lending rates ,बैंकों ने ब्याज दरों में कटौती की ,34,34,0
9083,Her fathers name was Rajaram Yadav. ,उनके पिता का नाम यादप्पा था। ,36,29,7
9084,Its going to be very important for us. ,यह हमारे लिए काफी महत्त्वपूर्ण होने जा रहा है। ,39,47,-8
9085,I had entered college by then. ,उससे पहले मैं कॉलेज में थी। ,31,28,3
9087,Its disgraceful. ,यह घ‌िनौना है. ,17,15,2
9091,So it's going to come in like that. ,तो यह उस तरह में आने के लिए जा रहा है। ,36,39,-3
9093,I don't understand all that. ,मैं इस पूरे मामले से अनजान हूं। ,29,32,-3
9099,Oil to cook ,खाना बनाने के लिए तेल ,12,22,-10
9105,Go from here. ,चल फुट यहां से। ,14,16,-2
9106,This is not Indian culture. ,ऐसी तो नहीं है भारतीय संस्कृति ,28,31,-3
9111,But is doesn't stop there. ,हालांकि यह मामला यहीं खत्म नहीं हुआ। ,27,37,-10
9118,20 people have died in the incident. ,जिसके कारण 20 लोगों की मौत हो गई। ,37,34,3
9121,"""He left our country,"""" he added."" ",उसने हमारा देश छोड़ दिया। ,35,26,9
9125,It affected the daily life of the people. ,इससे सामान्य जनजीवन प्रभावित हुआ है। ,42,37,5
9126,This makes it malicious. ,ऐसा करने से अमंगल होता है। ,25,27,-2
9127,He was in the Congress then. ,कभी कांग्रेस में रहे थे. ,29,25,4
9128,covid panic ,कोविड घबड़ाहट ,12,14,-2
9130,I said alright. ,मैने कहा ठीक है। ,16,17,-1
9134,This is called 'drug interactions'. ,इल्ही को ‘औषधि परस्पर क्रिया’ कहते हैं। ,36,40,-4
9138,"At this occasion, school Principal Dr ",इस मौके पर कालेज की प्रिंसिपल डा. ,38,34,4
9146,"What, and our forefathers, the ancients' ","""क्या और हमारे पहले के बाप-दादा भी? """""" ",41,40,1
9151,That too is far from truth. ,यह भी सच्चाई से इतर है। ,28,24,4
9152,That's it. ,बिलकुल ऐसे ही। ,11,15,-4
9158,"""There are two main groups in the fray. ",इस संगठन में दो प्रमुख गुट हैं. ,40,32,8
9160,People are in shock. ,लोगों को शॉक लगा है। ,21,21,0
9167,"""The family asked permission to pray first. ",परिवार ने पहले प्रार्थना करने की अनुमति माँगी । ,44,48,-4
9173,"Time's up, Bogs? ","समय समाप्त हुआ, बॉग्स. ",17,23,-6
9174,And also not. ,और केउ नाहीं. ,14,14,0
9177,"""They should be ostracised. ",उनका बहिष्कार किया जाना चाहिए। ,28,31,-3
9183,Extension root directory is invalid. ,विस्तार मूल निर्देशिका अमान्य है. ,37,34,3
9192,Some are mill workers and some are farmers. ,कोई खेतिहर मजदूर है तो कोई किसान. ,44,34,10
9201,Police have asked the public to exercise caution. ,"इस बीच, पुलिस ने लोगों से सचेत रहने को कहा है। ",50,47,3
9202,%1 has left the game ,% 1 ने खेल छोड़ दिया ,21,21,0
9207,I still wasn't aware of what was happening. ,"जो कुछ हो रहा था, मैं उससे अनजान था. ",44,37,7
9208,"After this, he released many music videos. ",इसके बाद उन्होंने कई म्यूजिक वीडियोज किए हैं। ,43,46,-3
9210,Bulk Feeder ,बल्क फीडर्स ,12,12,0
9221,"who acknowledge the Day of Judgment, ","जो बदले के दिन को सत्य मानते है, ",37,33,4
9224,How to care for your children ,आप अपने बच्चों को किस तरह से रखते हैं? ,30,39,-9
9232,Although th...Read More ,हालांकि इसकी . पढ़ें ,24,21,3
9243,Desai was ecstatic. ,देसाई हतप्रभ रह गये. ,20,21,-1
9244,He is interested in hearing her story. ,"""वह कहानी सुनाने को तैयार हो गई। ",39,33,6
9254,What more do you want? ,और क्या चाहिए तुझे। ,23,20,3
9255,He lived alone in the village. ,"""वह गांव में ही खेतीबाड़ी करता था। ",31,35,-4
9257,Anyone found guilty will not be spared. ,अपराधी कोई भी हो उसे बख्‍शा नहीं जाएगा। ,40,40,0
9261,Tell me your address. ,आपका पता बताइए। ,22,16,6
9264,Set here the raindrops' size. ,यहाँ पर पानी की बूंदों का आकार सेट करें ,30,40,-10
9265,So we decided to do that. ,इसलिए हमने ऐसा करने का फैसला किया। ,26,35,-9
9267,Strict vigil in border areas ,सीमावर्ती इलाकों में चौकसी ,29,27,2
9272,"Speak up, son. ","स्पीक अप, बेटा. ",15,16,-1
9276,We aren't fussy at all ,हमको ही ख़ासकर नहीं मिलती ,23,26,-3
9284,"""They are both very good friends. ",उन दोनों की अच्छी दोस्ती है। ,34,29,5
9289,To the lake! ,शांत रहो! घायल मदद! ,13,20,-7
9290,"""The event has caused anger in the US. ",अमेरिका में इस घटना ने सनसनी मचाकर रख दी है। ,39,45,-6
9291,A Bible study was started with the entire family. ,पूरे परिवार के साथ बाइबल अध्ययन शुरू किया गया । ,50,48,2
9305,We must hide! ,हम छिपाना चाहिए! ,14,17,-3
9310,9 deaths were reported. ,जिसमें 9 लोगों की मौत हो चुकी है। ,24,34,-10
9311,"you attended to him, ",तू उसके पीछे पड़ा है- ,21,22,-1
9318,"""The accused boy has been apprehended. ",नाबालिग आरोपी को हिरासत में लिया हुआ है। ,39,41,-2
9321,See the tweets below: ,नीचें देखे ट्वीट्स : ,22,21,1
9322,"""The three were stabbed to death. ",पिटाई से तीनों अधमरे हो गए। ,34,28,6
9325,This number will be increased in the coming days. ,पर आने वाले दिनों में यह संख्या बढ़ सकती है। ,50,45,5
9335,"""They immediately called on 100 number. ",उसने तुरंत 100 नंबर पर फोन किया। ,40,33,7
9336,Why there is no compensation? ,कोई शिक़ायत क्यों नहीं होती? ,30,29,1
9339,Thats why this step has been taken. ,इसी के चलते उसने ऐसा कदम उठाया है। ,36,35,1
9345,ChinaLove: dating app for Chinese singles ,चाइनालव: डेटिंग ऐप फॉर चाईनीज सिंगल्स ,42,38,4
9347,Annual Statistics various years ,विभिन्‍न वर्षों के लिए सालाना आंकड़े ,32,37,-5
9356,Suit yourself. ,अपने आप को सूट. ,15,16,-1
9357,But it is fast. ,पर जल्दी है तो है। ,16,19,-3
9368,We are discussing that. ,हम इस पर बातचीत करते हैं। ,24,26,-2
9371,I already have ten children myself ,मेरे खुद के दस बच्चे हैं ,35,25,10
9376,Its already too late. ,पहले ही देर हो गई है। ,22,22,0
9377,Maybe I ought to be a little braver. ,मुझे शायद थोड़ा बहादुर बनना चाहिए। ,37,35,2
9379,List of new words ,नए शब्दों की सूची ,18,18,0
9386,"""The cheese is very low in fat. ",मादा पशु दूध बहुत कम मात्रा में देती है। ,32,41,-9
9390,neighbourhood travel scheme ,पड़ोसी देशों की यात्रा योजना ,28,29,-1
9403,You will need additional help. ,आपको अतिरिक्‍त मदद की भी ज़रूरत होगी । ,31,39,-8
9419,"""There can be three explanations for this: ",इसे निम्न तीन बिंदुओं से समझा जा सकता है ,43,41,2
9421,Indian banyan ,नीलरूपक ,14,8,6
9432,All this variation is not surprising ,ये सारी भिन्नताएं हतप्रभ करने वाली नहीं हैं। ,37,45,-8
9433,BSNl cables stolen ,बीएसएनएल की केबल चुराई ,19,23,-4
9434,"""The situation in the state is altering rapidly. ",राज्‍य में स्थिति तेजी से सामान्‍य हो रही है। ,49,46,3
9436,We have asked them. ,हमने उनसे पूछा है। ,20,19,1
9442,"""The video went viral. ",ये वीडियो तेजी से वायरल हुआ. ,23,29,-6
9444,Hockey WC: Shivendra Singh suspended ,हॉकी विश्व कप: शिवेंद्र की सजा घटी ,37,35,2
9458,All three of them. ,इन तीनों से ही. ,19,16,3
9462,Page% 1 of% 2 ,पृष्ठ% 1 इसमें काः% 2 ,14,22,-8
9466,"""The film also stars Manisha Koirala. ",इसमें मनीषा कोइराला भी प्रमुख भूमिका में हैं। ,38,46,-8
9467,Vermaji was not far from truth. ,वर्मा जी ने ठीक ही कहा था। ,32,27,5
9468,"""The government has rejected that demand. ",सरकार ने इस मांग को भी ठुकरा दिया. ,42,35,7
9469,It is violation of international laws. ,यह अंतरराष्ट्रीय समझौतों का उल्लंघन भी है। ,39,43,-4
9473,She has severe injuries on her body. ,उसके शरीर पर गंभीर चोट के निशान हैं। ,37,37,0
9475,Always apply changes without confirmation ,परिवर्तनों को हमेशा बिना पुष्टि किए लागू करें ,42,46,-4
9490,But where does this money come from? ,"वैसे भी, यह रकम कहां से आएगी? ",37,30,7
9492,"You 're a clever boy, Pelle. ","तुम एक चतुर लड़के हो, पेले. ",29,28,1
9495,"""The court however did not accept their plea. ",अदालत ने अभी उनका दावा स्वीकार नहीं किया है। ,46,45,1
9499,This has led to a new controversy. ,इस मामले में नया विवाद खड़ा हो गया है. ,35,39,-4
9501,We are currently in the evaluation process. ,हम अभी सिर्फ आकलन की प्रक्रिया में हैं। ,44,40,4
9503,"At first,I rejected it completely. ",शुरू में मैंने मना कर दिया. ,35,28,7
9515,It was raining in several places. ,इसके चलते कई स्थानों पर बारिश हुई। ,34,35,-1
9519,Baig was not immediately available for comment ,बेग तत्काल टिप्पणी के लिए उपलब्ध नहीं थे ,47,41,6
9521,Heavy rain in Haryana ,हरियाणा में गिरे ओले ,22,21,1
9529,"""The dock's history ",खंडाला का इतिहास ,20,17,3
